ESC. BAS. Nº 4356,1,3,79,1,HORQUETA,CONCEPCION,COLONIA JOSE BERGES,20000
ESC. BAS. Nº 4356,1,3,79,2,HORQUETA,CONCEPCION,COLONIA JOSE BERGES,20000
INSTITUTO DE FORMACION DOCENTE,1,3,80,1,HORQUETA,CONCEPCION,COLONIA EX - VIA FERREA,380886592
LICEO NACIONAL ALFONSO CUE,1,3,81,1,HORQUETA,CONCEPCION,HORQUETA,10000
ESC. BAS. Nº 4349 PERPETUO SOCORRO,1,3,82,1,HORQUETA,CONCEPCION,COMPAÑIA ORO VERDE,9997
ESC. BAS. Nº 443 "MAYOR JULIO OTAÑO",1,3,83,1,HORQUETA,CONCEPCION,COLONIA EX COMBATIENTES,8500
ESC. BAS. Nº 2580,1,3,84,1,HORQUETA,CONCEPCION,COLONIA JUAN MANUEL FRUTOS,10000
ESC. BAS. Nº 1721,1,3,85,1,HORQUETA,CONCEPCION,COLONIA PRIMAVERA,0
ESC. BAS. Nº 1713 SAN LUIS GONZAGA Y COLEGIO NACIONAL SAN LUIS GONZAGA,1,3,86,1,HORQUETA,CONCEPCION,COLONIA JOSE BERGES,10000
LICEO NACIONAL PABLO EMILIANO QUEVEDO CORDERO,1,3,87,1,HORQUETA,CONCEPCION,DEPOSITO,9984
ESC. BAS. Nº 2667,1,3,88,1,HORQUETA,CONCEPCION,COL.EMILIO R.PEREIRA,10000
ESC. BAS. Nº 4337 SAN ISIDRO,1,3,89,1,HORQUETA,CONCEPCION,COL.JUAN M.FRUTOS,10000
ESC. BAS. Nº 2576 PROF. CARMEN J. MARTINEZ DE LOPEZ,1,3,90,1,HORQUETA,CONCEPCION,COL.JOSé BERGES,10000
ESC. BAS. Nº 6696,1,3,91,1,HORQUETA,CONCEPCION,COL.EX COMBATIENTES,10000
COLEGIO NACIONAL GRAL. MARCIAL SAMANIEGO DE NARANJATY,1,3,92,1,HORQUETA,CONCEPCION,COLONIA DE HERNANDARIAS,9000
ESC. BAS. Nº 4341 "SAN ANDRES",1,3,93,1,HORQUETA,CONCEPCION,EX COMBAT.DE LA GUERA DEL CHACO,5000
ESC. BAS. Nº 2581 SAN ANTONIO,1,3,94,1,HORQUETA,CONCEPCION,COLONIA JUAN MANUEL FRUTOS,15000
ESC. BAS. Nº 4346 GRAL. ELIZARDO AQUINO,1,3,95,1,HORQUETA,CONCEPCION,EX-COMBATIENTES DEL CHACO,10000
ESC. BAS. Nº 2668,1,3,96,1,HORQUETA,CONCEPCION,CAPITAN SOSA,30000
ESC  CAACUPE-I,1,3,97,1,HORQUETA,CONCEPCION,ORO VERDE,9997
ESC. BAS. Nº 4921,1,3,98,1,HORQUETA,CONCEPCION,CNIA.JOSE BERGES,2500
ESC. BAS. Nº 4348 SAN JORGE,1,3,99,1,HORQUETA,CONCEPCION,CNIA.ORO VERDE,10000
ESC. BAS. Nº 1714 PADRE JUAN CARLOS GARCIA,1,3,100,1,HORQUETA,CONCEPCION,COLONIA JOSE BERGES,10000
ESC. BAS. Nº 1710 JOSE BERGES,1,3,101,1,HORQUETA,CONCEPCION,COL.HERNANDARIAS,11180
ESC. BAS. Nº 6836 DR. LUIS MARIA ARGAÑA,1,3,102,1,HORQUETA,CONCEPCION,COL. EXCOMBATIENTES,10020
ESC. BAS. Nº 4340,1,3,103,1,HORQUETA,CONCEPCION,COL.CAPITAN SOSA,10000
ESC. BAS. Nº 4601 DEFENSORES DE LOS DERECHOS DEL NIÑO,1,3,104,1,HORQUETA,CONCEPCION,COL.VIRGEN DEL CAMINO,10000
ESC. BAS. Nº 4950 MARTIRES DE ACOSTA ÑU,1,3,105,1,HORQUETA,CONCEPCION,COL.VIRGEN DEL CAMINO,10000
ESC. BAS. Nº 4347 Y COLEGIO NACIONAL SAN ROQUE G. DE SANTA CRUZ,1,3,106,1,HORQUETA,CONCEPCION,COL.ORO VERDE,10000
ESC. BAS. Nº 1705 NIÑOS HEROES DE ACOSTA ÑU,1,3,107,1,HORQUETA,CONCEPCION,COL. CHOFERES DEL CHACO-JHUGUA POI,750
ESC. BAS. Nº 3213 HEROES DEL CHACO,1,3,108,1,HORQUETA,CONCEPCION,COL.VIRGEN DEL CAMINO-INDIVIDUALIS,10000
ESC. BAS. Nº 1707,1,3,109,1,HORQUETA,CONCEPCION,COL.HERNANDARIAS,19968
LIC.NAC. MONSEÑOR ANIBAL MARICEVICH,1,3,110,1,HORQUETA,CONCEPCION,COL.VIRGEN DEL CAMINO,24200
ESC. BAS. Nº 4602 12 DE ABRIL,1,3,111,1,HORQUETA,CONCEPCION,COL.VIRGEN DEL CAMINO-ARROYITO,10000
ESC. BAS. Nº 2577 INDEPENDENCIA NACIONAL,1,3,112,1,HORQUETA,CONCEPCION,COL.HERNANDARIAS,10000
ESC. BAS. Nº 6456 DR. LUIS MARIA ARGAÑA,1,3,113,1,HORQUETA,CONCEPCION,COL.VIRGEN DEL CAMINO-MANZ.TACUARA,10000
ESC. BAS. Nº 6990 MONSEÑOR ANIBAL MARICEVICH,1,3,114,1,HORQUETA,CONCEPCION,COL.ORO VERDE,178686336
ESC. BAS. Nº 4949 ACOSTA ÑU,1,3,115,1,HORQUETA,CONCEPCION,COL. EXCOMBATIENTES,5000
ESC. BAS. Nº 4598 PARAGUAYO INDEPENDIENTE,1,3,116,1,HORQUETA,CONCEPCION,COL.JOSE BERGES,98988264
ESC. BAS. Nº 6703,1,3,117,1,HORQUETA,CONCEPCION,COL.AVAPABE-AZOTEY,2799
ESC. BAS. Nº 4334 DON CARLOS A. LOPEZ,1,3,118,1,HORQUETA,CONCEPCION,COL.JOSE BERGES,10000
ESC. BAS. Nº 6696 DON SERAPIO VALENZUELA,1,3,119,1,HORQUETA,CONCEPCION,COL.EX COMBATIENTES,5000
ESC. BAS. Nº 4338,1,3,120,1,HORQUETA,CONCEPCION,COL.CAPITAN SOSA-PASO ITA,10000
ESC. BAS. Nº 6392 EUSEBIA CORONEL DE TORRES,1,3,121,1,HORQUETA,CONCEPCION,BARRIO FATIMA(YCUA LUCERO),10080
LIC.NAC.MANUEL ORTIZ GUERRERO,1,3,122,1,HORQUETA,CONCEPCION,COL.ZANJA MOROTI,70203560
ESC. BAS. Nº 4332 CRISTO REY,1,3,123,1,HORQUETA,CONCEPCION,COL.JOSE BERGES,59685096
ESC. BAS. Nº 4948 EXCOMB. DON ALFONSO VALIENTE,1,3,124,1,HORQUETA,CONCEPCION,COL.EXCAMBATIENTES-LUCERO CUE,10000
ALBERGUE INSTITUTO DE FORMACION DOCENTE,1,3,125,1,HORQUETA,CONCEPCION,MUNICIPIO,100898
ESC. BAS. Nº 4340,1,3,126,1,HORQUETA,CONCEPCION,MUNICIPIO-Bº LAS MERCEDES,5460
ESC,1,3,127,1,HORQUETA,CONCEPCION,COL.JUAN M.FRUTOS,10000
ESC. BAS. Nº 7061 VIRGEN DE FATIMA,1,3,128,1,HORQUETA,CONCEPCION,MUNICIPIO-BARRIO VIRGEN DE FATIMA,5100
ESC. BAS. Nº 4598,1,3,129,1,HORQUETA,CONCEPCION,COL.JOSE BERGES,98988264
ESC. BAS. Nº 6693 MARIA AUXILIADORA,1,3,130,1,HORQUETA,CONCEPCION,COL.JOSE BERGES-POTRERO TACUARA,171659392
